kepid,kepoi_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_steff,koi_srad,ra,dec,koi_kepmag
6973796,K03726.01,FALSE POSITIVE,0,1,0,0,115.994336400,139.5716800,0.0280,2.41360,3.7571e+04,13.66,265.0,102.40,4530.00,0.7350,298.123960,42.403172,15.852
12023089,K03727.01,FALSE POSITIVE,0,1,0,0,0.623441636,131.6792187,1.2127,1.46001,1.9340e+04,29.19,1711.0,164.70,5319.00,0.6540,296.591490,50.490028,15.626
6286155,K03803.01,FALSE POSITIVE,0,1,1,1,14.541747100,137.5873400,1.2140,5.60670,1.0886e+03,163.25,1494.0,71.20,5032.00,5.9220,292.169070,41.619759,13.763
7831363,K03804.01,FALSE POSITIVE,0,1,0,0,2.817533810,132.8937000,1.3730,2.15510,3.8360e+03,52.91,1494.0,39.30,6313.00,1.0980,294.774930,43.592918,14.248
8804845,K02039.02,CONFIRMED,0,0,0,0,0.762132307,131.6154200,0.3990,1.22000,6.3700e+01,0.75,1872.0,11.50,5594.00,0.9340,285.387420,45.049049,14.305
4663185,K03805.01,FALSE POSITIVE,0,0,1,0,56.699310700,146.1473000,1.2640,7.07060,5.8247e+03,539.16,1261.0,76.30,4727.00,13.5470,294.079380,39.729641,11.356
5305471,K03806.01,FALSE POSITIVE,1,0,1,1,161.252247000,189.1094800,0.8920,23.46700,2.1859e+03,4.49,303.0,84.10,5555.00,0.8110,298.943660,40.405190,14.178
5560830,K03879.01,FALSE POSITIVE,1,0,1,1,0.867719291,132.1655970,1.2700,6.32300,2.6518e+03,37.79,2106.0,157.10,6220.00,1.0560,298.494510,40.733608,14.445
4147444,K03880.01,CANDIDATE,0,0,0,0,1.803697292,131.5136500,0.4050,1.59220,6.9700e+01,1.00,1783.0,25.80,6438.00,1.1660,288.867370,39.264961,10.762
8211824,K03881.01,FALSE POSITIVE,0,1,0,0,0.841121870,132.1649390,1.0871,2.04310,7.5070e+04,39.34,1514.0,89.70,5048.00,0.7070,281.744600,44.169640,16.055
5980800,K03882.01,FALSE POSITIVE,0,1,0,0,0.828326025,132.1758060,1.3292,1.42721,1.0718e+04,49.67,1845.0,164.50,5400.00,0.9780,297.203520,41.228909,15.044
9592850,K03883.01,FALSE POSITIVE,0,1,0,0,1.219324537,131.9467300,0.4890,4.75010,3.7906e+05,60.62,1569.0,241.00,5455.00,0.8970,293.767820,46.237591,16.400
6227560,K03650.01,FALSE POSITIVE,0,1,0,0,2.401751509,133.7119190,5.2500,2.08350,2.5044e+04,268.75,888.0,83.10,4577.00,0.5570,297.758450,41.513641,15.927
5866104,K03651.01,FALSE POSITIVE,0,1,0,0,36.977095370,133.6264000,0.7500,5.20630,2.1714e+05,59.66,546.0,204.90,5780.00,1.0000,288.444850,41.172604,17.066
